"","emoji.counts","unicode","bytes","description"
"425",1,"U+1F35A","\xF0\x9F\x8D\x9A","cooked rice"
"426",1,"U+1F35E","\xF0\x9F\x8D\x9E","bread"
"427",1,"U+1F361","\xF0\x9F\x8D\xA1","dango"
"428",1,"U+1F364","\xF0\x9F\x8D\xA4","fried shrimp"
"429",1,"U+1F365","\xF0\x9F\x8D\xA5","fish cake with swirl design"
"430",1,"U+1F36A","\xF0\x9F\x8D\xAA","cookie"
"431",1,"U+1F36E","\xF0\x9F\x8D\xAE","custard"
"432",1,"U+1F36F","\xF0\x9F\x8D\xAF","honey pot"
"433",1,"U+1F386","\xF0\x9F\x8E\x86","fireworks"
"434",1,"U+1F387","\xF0\x9F\x8E\x87","firework sparkler"
"435",1,"U+1F38B","\xF0\x9F\x8E\x8B","tanabata tree"
"436",1,"U+1F390","\xF0\x9F\x8E\x90","wind chime"
"437",1,"U+1F3A0","\xF0\x9F\x8E\xA0","carousel horse"
"438",1,"U+1F3A3","\xF0\x9F\x8E\xA3","fishing pole and fish"
"439",1,"U+1F3AA","\xF0\x9F\x8E\xAA","circus tent"
"440",1,"U+1F3AC","\xF0\x9F\x8E\xAC","clapper board"
"441",1,"U+1F3AF","\xF0\x9F\x8E\xAF","direct hit"
"442",1,"U+1F3B1","\xF0\x9F\x8E\xB1","billiards"
"443",1,"U+1F3B3","\xF0\x9F\x8E\xB3","bowling"
"444",1,"U+1F3B7","\xF0\x9F\x8E\xB7","saxophone"
"445",1,"U+1F3B9","\xF0\x9F\x8E\xB9","musical keyboard"
"446",1,"U+1F3BA","\xF0\x9F\x8E\xBA","trumpet"
"447",1,"U+1F3BB","\xF0\x9F\x8E\xBB","violin"
"448",1,"U+1F3BE","\xF0\x9F\x8E\xBE","tennis racquet and ball"
"449",1,"U+1F3C2","\xF0\x9F\x8F\x82","snowboarder"
"450",1,"U+1F3E0","\xF0\x9F\x8F\xA0","house building"
"451",1,"U+1F3E6","\xF0\x9F\x8F\xA6","bank"
"452",1,"U+1F3E7","\xF0\x9F\x8F\xA7","automated teller machine"
"453",1,"U+1F3E8","\xF0\x9F\x8F\xA8","hotel"
"454",1,"U+1F40C","\xF0\x9F\x90\x8C","snail"
"455",1,"U+1F417","\xF0\x9F\x90\x97","boar"
"456",1,"U+1F418","\xF0\x9F\x90\x98","elephant"
"457",1,"U+1F419","\xF0\x9F\x90\x99","octopus"
"458",1,"U+1F41B","\xF0\x9F\x90\x9B","bug"
"459",1,"U+1F41E","\xF0\x9F\x90\x9E","lady beetle"
"460",1,"U+1F422","\xF0\x9F\x90\xA2","turtle"
"461",1,"U+1F424","\xF0\x9F\x90\xA4","baby chick"
"462",1,"U+1F425","\xF0\x9F\x90\xA5","front-facing baby chick"
"463",1,"U+1F434","\xF0\x9F\x90\xB4","horse face"
"464",1,"U+1F437","\xF0\x9F\x90\xB7","pig face"
"465",1,"U+1F443","\xF0\x9F\x91\x83","nose"
"466",1,"U+1F444","\xF0\x9F\x91\x84","mouth"
"467",1,"U+1F446","\xF0\x9F\x91\x86","white up pointing backhand index"
"468",1,"U+1F447","\xF0\x9F\x91\x87","white down pointing backhand index"
"469",1,"U+1F452","\xF0\x9F\x91\x92","womans hat"
"470",1,"U+1F456","\xF0\x9F\x91\x96","jeans"
"471",1,"U+1F458","\xF0\x9F\x91\x98","kimono"
"472",1,"U+1F45A","\xF0\x9F\x91\x9A","womans clothes"
"473",1,"U+1F45B","\xF0\x9F\x91\x9B","purse"
"474",1,"U+1F45C","\xF0\x9F\x91\x9C","handbag"
"475",1,"U+1F475","\xF0\x9F\x91\xB5","older woman"
"476",1,"U+1F477","\xF0\x9F\x91\xB7","construction worker"
"477",1,"U+1F47A","\xF0\x9F\x91\xBA","japanese goblin"
"478",1,"U+1F47B","\xF0\x9F\x91\xBB","ghost"
"479",1,"U+1F4A0","\xF0\x9F\x92\xA0","diamond shape with a dot inside"
"480",1,"U+1F4B1","\xF0\x9F\x92\xB1","currency exchange"
"481",1,"U+1F4B9","\xF0\x9F\x92\xB9","chart with upwards trend and yen sign"
"482",1,"U+1F4BB","\xF0\x9F\x92\xBB","personal computer"
"483",1,"U+1F4BC","\xF0\x9F\x92\xBC","briefcase"
"484",1,"U+1F4C0","\xF0\x9F\x93\x80","dvd"
"485",1,"U+1F4C6","\xF0\x9F\x93\x86","tear-off calendar"
"486",1,"U+1F4DD","\xF0\x9F\x93\x9D","memo"
"487",1,"U+1F4F6","\xF0\x9F\x93\xB6","antenna with bars"
"488",1,"U+1F4F9","\xF0\x9F\x93\xB9","video camera"
"489",1,"U+1F4FB","\xF0\x9F\x93\xBB","radio"
"490",1,"U+1F4FC","\xF0\x9F\x93\xBC","videocassette"
"491",1,"U+1F50C","\xF0\x9F\x94\x8C","electric plug"
"492",1,"U+1F50E","\xF0\x9F\x94\x8E","right-pointing magnifying glass"
"493",1,"U+1F51E","\xF0\x9F\x94\x9E","no one under eighteen symbol"
"494",1,"U+1F527","\xF0\x9F\x94\xA7","wrench"
"495",1,"U+1F52E","\xF0\x9F\x94\xAE","crystal ball"
"496",1,"U+1F531","\xF0\x9F\x94\xB1","trident emblem"
"497",1,"U+1F532","\xF0\x9F\x94\xB2","black square button"
"498",1,"U+1F533","\xF0\x9F\x94\xB3","white square button"
"499",1,"U+1F536","\xF0\x9F\x94\xB6","large orange diamond"
"500",1,"U+1F539","\xF0\x9F\x94\xB9","small blue diamond"
"501",1,"U+1F53B","\xF0\x9F\x94\xBB","down-pointing red triangle"
"502",1,"U+1F550","\xF0\x9F\x95\x90","clock face one oclock"
"503",1,"U+1F55B","\xF0\x9F\x95\x9B","clock face twelve oclock"
"504",1,"U+1F5FD","\xF0\x9F\x97\xBD","statue of liberty"
"505",1,"U+1F5FF","\xF0\x9F\x97\xBF","moyai"
"506",1,"U+1F62F","\xF0\x9F\x98\xAF","hushed face"
"507",1,"U+1F681","\xF0\x9F\x9A\x81","helicopter"
"508",1,"U+1F682","\xF0\x9F\x9A\x82","steam locomotive"
"509",1,"U+1F686","\xF0\x9F\x9A\x86","train"
"510",1,"U+1F68A","\xF0\x9F\x9A\x8A","tram"
"511",1,"U+1F6B4","\xF0\x9F\x9A\xB4","bicyclist"
"512",1,"U+1F6BF","\xF0\x9F\x9A\xBF","shower"
"513",1,"U+1F310","\xF0\x9F\x8C\x90","globe with meridians"
"514",1,"U+1F31D","\xF0\x9F\x8C\x9D","full moon with face"
"515",1,"U+1F332","\xF0\x9F\x8C\xB2","evergreen tree"
"516",1,"U+1F3C9","\xF0\x9F\x8F\x89","rugby football"
"517",1,"U+1F406","\xF0\x9F\x90\x86","leopard"
"518",1,"U+1F40A","\xF0\x9F\x90\x8A","crocodile"
"519",1,"U+1F40B","\xF0\x9F\x90\x8B","whale"
"520",1,"U+1F413","\xF0\x9F\x90\x93","rooster"
"521",1,"U+1F4EC","\xF0\x9F\x93\xAC","open mailbox with raised flag"
"522",1,"U+1F4EF","\xF0\x9F\x93\xAF","postal horn"
"523",1,"U+1F501","\xF0\x9F\x94\x81","clockwise rightwards and leftwards open circle arrows"
"524",1,"U+1F502","\xF0\x9F\x94\x82","clockwise rightwards and leftwards open circle arrows with circled one overlay"
"525",1,"U+1F505","\xF0\x9F\x94\x85","low brightness symbol"
"526",1,"U+1F506","\xF0\x9F\x94\x86","high brightness symbol"
"527",1,"U+1F52D","\xF0\x9F\x94\xAD","telescope"
"528",1,"U+1F567","\xF0\x9F\x95\xA7","clock face twelve-thirty"
"529",0,"Unicode","Bytes (UTF-8)","Description"
"530",0,"U+1F63A","\xF0\x9F\x98\xBA","smiling cat face with open mouth"
"531",0,"U+2709","\xE2\x9C\x89","envelope"
"532",0,"U+2712","\xE2\x9C\x92","black nib"
"533",0,"U+2733","\xE2\x9C\xB3","eight spoked asterisk"
"534",0,"U+2734","\xE2\x9C\xB4","eight pointed black star"
"535",0,"U+2747","\xE2\x9D\x87","sparkle"
"536",0,"U+274E","\xE2\x9D\x8E","negative squared cross mark"
"537",0,"U+2796","\xE2\x9E\x96","heavy minus sign"
"538",0,"U+2797","\xE2\x9E\x97","heavy division sign"
"539",0,"U+27B0","\xE2\x9E\xB0","curly loop"
"540",0,"U+1F683","\xF0\x9F\x9A\x83","railway car"
"541",0,"U+1F685","\xF0\x9F\x9A\x85","high-speed train with bullet nose"
"542",0,"U+1F689","\xF0\x9F\x9A\x89","station"
"543",0,"U+1F68C","\xF0\x9F\x9A\x8C","bus"
"544",0,"U+1F68F","\xF0\x9F\x9A\x8F","bus stop"
"545",0,"U+1F691","\xF0\x9F\x9A\x91","ambulance"
"546",0,"U+1F695","\xF0\x9F\x9A\x95","taxi"
"547",0,"U+1F699","\xF0\x9F\x9A\x99","recreational vehicle"
"548",0,"U+1F69A","\xF0\x9F\x9A\x9A","delivery truck"
"549",0,"U+1F6A7","\xF0\x9F\x9A\xA7","construction sign"
"550",0,"U+1F6A9","\xF0\x9F\x9A\xA9","triangular flag on post"
"551",0,"U+1F6B9","\xF0\x9F\x9A\xB9","mens symbol"
"552",0,"U+1F6BB","\xF0\x9F\x9A\xBB","restroom"
"553",0,"U+1F6BC","\xF0\x9F\x9A\xBC","baby symbol"
"554",0,"U+1F6BD","\xF0\x9F\x9A\xBD","toilet"
"555",0,"U+1F6BE","\xF0\x9F\x9A\xBE","water closet"
"556",0,"U+1F6C0","\xF0\x9F\x9B\x80","bath"
"557",0,"U+1F17E","\xF0\x9F\x85\xBE","negative squared latin capital letter o"
"558",0,"U+1F18E","\xF0\x9F\x86\x8E","negative squared ab"
"559",0,"U+1F191","\xF0\x9F\x86\x91","squared cl"
"560",0,"U+1F194","\xF0\x9F\x86\x94","squared id"
"561",0,"U+1F196","\xF0\x9F\x86\x96","squared ng"
"562",0,"U+1F198","\xF0\x9F\x86\x98","squared sos"
"563",0,"U+1F19A","\xF0\x9F\x86\x9A","squared vs"
"564",0,"U+1F1E9 U+1F1EA","\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA","regional indicator symbol letter d + regional indicator symbol letter e"
"565",0,"U+1F1E8 U+1F1F3","\xF0\x9F\x87\xA8\xF0\x9F\x87\xB3","regional indicator symbol letter c + regional indicator symbol letter n"
"566",0,"U+1F1EF U+1F1F5","\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5","regional indicator symbol letter j + regional indicator symbol letter p"
"567",0,"U+1F1F0 U+1F1F7","\xF0\x9F\x87\xB0\xF0\x9F\x87\xB7","regional indicator symbol letter k + regional indicator symbol letter r"
"568",0,"U+1F1EB U+1F1F7","\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7","regional indicator symbol letter f + regional indicator symbol letter r"
"569",0,"U+1F1EA U+1F1F8","\xF0\x9F\x87\xAA\xF0\x9F\x87\xB8","regional indicator symbol letter e + regional indicator symbol letter s"
"570",0,"U+1F1F7 U+1F1FA","\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA","regional indicator symbol letter r + regional indicator symbol letter u"
"571",0,"U+1F201","\xF0\x9F\x88\x81","squared katakana koko"
"572",0,"U+1F202","\xF0\x9F\x88\x82","squared katakana sa"
"573",0,"U+1F21A","\xF0\x9F\x88\x9A","squared cjk unified ideograph-7121"
"574",0,"U+1F22F","\xF0\x9F\x88\xAF","squared cjk unified ideograph-6307"
"575",0,"U+1F232","\xF0\x9F\x88\xB2","squared cjk unified ideograph-7981"
"576",0,"U+1F233","\xF0\x9F\x88\xB3","squared cjk unified ideograph-7a7a"
"577",0,"U+1F234","\xF0\x9F\x88\xB4","squared cjk unified ideograph-5408"
"578",0,"U+1F235","\xF0\x9F\x88\xB5","squared cjk unified ideograph-6e80"
"579",0,"U+1F236","\xF0\x9F\x88\xB6","squared cjk unified ideograph-6709"
"580",0,"U+1F237","\xF0\x9F\x88\xB7","squared cjk unified ideograph-6708"
"581",0,"U+1F238","\xF0\x9F\x88\xB8","squared cjk unified ideograph-7533"
"582",0,"U+1F23A","\xF0\x9F\x88\xBA","squared cjk unified ideograph-55b6"
"583",0,"U+1F251","\xF0\x9F\x89\x91","circled ideograph accept"
"584",0,"U+00A9","\xC2\xA9","copyright sign"
"585",0,"U+2139","\xE2\x84\xB9","information source"
"586",0,"U+2198","\xE2\x86\x98","south east arrow"
"587",0,"U+2199","\xE2\x86\x99","south west arrow"
"588",0,"U+21A9","\xE2\x86\xA9","leftwards arrow with hook"
"589",0,"U+21AA","\xE2\x86\xAA","rightwards arrow with hook"
"590",0,"U+231A","\xE2\x8C\x9A","watch"
"591",0,"U+231B","\xE2\x8C\x9B","hourglass"
"592",0,"U+23EA","\xE2\x8F\xAA","black left-pointing double triangle"
"593",0,"U+23EB","\xE2\x8F\xAB","black up-pointing double triangle"
"594",0,"U+23EC","\xE2\x8F\xAC","black down-pointing double triangle"
"595",0,"U+25C0","\xE2\x97\x80","black left-pointing triangle"
"596",0,"U+2611","\xE2\x98\x91","ballot box with check"
"597",0,"U+2648","\xE2\x99\x88","aries"
"598",0,"U+264B","\xE2\x99\x8B","cancer"
"599",0,"U+264D","\xE2\x99\x8D","virgo"
"600",0,"U+2650","\xE2\x99\x90","sagittarius"
"601",0,"U+2651","\xE2\x99\x91","capricorn"
"602",0,"U+2652","\xE2\x99\x92","aquarius"
"603",0,"U+2660","\xE2\x99\xA0","black spade suit"
"604",0,"U+2663","\xE2\x99\xA3","black club suit"
"605",0,"U+2666","\xE2\x99\xA6","black diamond suit"
"606",0,"U+267F","\xE2\x99\xBF","wheelchair symbol"
"607",0,"U+26A0","\xE2\x9A\xA0","warning sign"
"608",0,"U+26D4","\xE2\x9B\x94","no entry"
"609",0,"U+26F2","\xE2\x9B\xB2","fountain"
"610",0,"U+26FA","\xE2\x9B\xBA","tent"
"611",0,"U+2934","\xE2\xA4\xB4","arrow pointing rightwards then curving upwards"
"612",0,"U+2935","\xE2\xA4\xB5","arrow pointing rightwards then curving downwards"
"613",0,"U+2B05","\xE2\xAC\x85","leftwards black arrow"
"614",0,"U+2B07","\xE2\xAC\x87","downwards black arrow"
"615",0,"U+2B1B","\xE2\xAC\x9B","black large square"
"616",0,"U+3297","\xE3\x8A\x97","circled ideograph congratulation"
"617",0,"U+3299","\xE3\x8A\x99","circled ideograph secret"
"618",0,"U+1F004","\xF0\x9F\x80\x84","mahjong tile red dragon"
"619",0,"U+1F0CF","\xF0\x9F\x83\x8F","playing card black joker"
"620",0,"U+1F301","\xF0\x9F\x8C\x81","foggy"
"621",0,"U+1F30B","\xF0\x9F\x8C\x8B","volcano"
"622",0,"U+1F30C","\xF0\x9F\x8C\x8C","milky way"
"623",0,"U+1F313","\xF0\x9F\x8C\x93","first quarter moon symbol"
"624",0,"U+1F314","\xF0\x9F\x8C\x94","waxing gibbous moon symbol"
"625",0,"U+1F315","\xF0\x9F\x8C\x95","full moon symbol"
"626",0,"U+1F331","\xF0\x9F\x8C\xB1","seedling"
"627",0,"U+1F33D","\xF0\x9F\x8C\xBD","ear of maize"
"628",0,"U+1F344","\xF0\x9F\x8D\x84","mushroom"
"629",0,"U+1F345","\xF0\x9F\x8D\x85","tomato"
"630",0,"U+1F34F","\xF0\x9F\x8D\x8F","green apple"
"631",0,"U+1F358","\xF0\x9F\x8D\x98","rice cracker"
"632",0,"U+1F359","\xF0\x9F\x8D\x99","rice ball"
"633",0,"U+1F35D","\xF0\x9F\x8D\x9D","spaghetti"
"634",0,"U+1F360","\xF0\x9F\x8D\xA0","roasted sweet potato"
"635",0,"U+1F362","\xF0\x9F\x8D\xA2","oden"
"636",0,"U+1F363","\xF0\x9F\x8D\xA3","sushi"
"637",0,"U+1F367","\xF0\x9F\x8D\xA7","shaved ice"
"638",0,"U+1F368","\xF0\x9F\x8D\xA8","ice cream"
"639",0,"U+1F36C","\xF0\x9F\x8D\xAC","candy"
"640",0,"U+1F36D","\xF0\x9F\x8D\xAD","lollipop"
"641",0,"U+1F372","\xF0\x9F\x8D\xB2","pot of food"
"642",0,"U+1F375","\xF0\x9F\x8D\xB5","teacup without handle"
"643",0,"U+1F376","\xF0\x9F\x8D\xB6","sake bottle and cup"
"644",0,"U+1F383","\xF0\x9F\x8E\x83","jack-o-lantern"
"645",0,"U+1F384","\xF0\x9F\x8E\x84","christmas tree"
"646",0,"U+1F385","\xF0\x9F\x8E\x85","father christmas"
"647",0,"U+1F38C","\xF0\x9F\x8E\x8C","crossed flags"
"648",0,"U+1F38D","\xF0\x9F\x8E\x8D","pine decoration"
"649",0,"U+1F38F","\xF0\x9F\x8E\x8F","carp streamer"
"650",0,"U+1F391","\xF0\x9F\x8E\x91","moon viewing ceremony"
"651",0,"U+1F3A1","\xF0\x9F\x8E\xA1","ferris wheel"
"652",0,"U+1F3A2","\xF0\x9F\x8E\xA2","roller coaster"
"653",0,"U+1F3A6","\xF0\x9F\x8E\xA6","cinema"
"654",0,"U+1F3AB","\xF0\x9F\x8E\xAB","ticket"
"655",0,"U+1F3B4","\xF0\x9F\x8E\xB4","flower playing cards"
"656",0,"U+1F3BD","\xF0\x9F\x8E\xBD","running shirt with sash"
"657",0,"U+1F3BF","\xF0\x9F\x8E\xBF","ski and ski boot"
"658",0,"U+1F3C1","\xF0\x9F\x8F\x81","chequered flag"
"659",0,"U+1F3E2","\xF0\x9F\x8F\xA2","office building"
"660",0,"U+1F3E3","\xF0\x9F\x8F\xA3","japanese post office"
"661",0,"U+1F3E9","\xF0\x9F\x8F\xA9","love hotel"
"662",0,"U+1F3EA","\xF0\x9F\x8F\xAA","convenience store"
"663",0,"U+1F3EB","\xF0\x9F\x8F\xAB","school"
"664",0,"U+1F3EC","\xF0\x9F\x8F\xAC","department store"
"665",0,"U+1F3ED","\xF0\x9F\x8F\xAD","factory"
"666",0,"U+1F3EE","\xF0\x9F\x8F\xAE","izakaya lantern"
"667",0,"U+1F3EF","\xF0\x9F\x8F\xAF","japanese castle"
"668",0,"U+1F40E","\xF0\x9F\x90\x8E","horse"
"669",0,"U+1F411","\xF0\x9F\x90\x91","sheep"
"670",0,"U+1F414","\xF0\x9F\x90\x94","chicken"
"671",0,"U+1F41A","\xF0\x9F\x90\x9A","spiral shell"
"672",0,"U+1F41C","\xF0\x9F\x90\x9C","ant"
"673",0,"U+1F421","\xF0\x9F\x90\xA1","blowfish"
"674",0,"U+1F427","\xF0\x9F\x90\xA7","penguin"
"675",0,"U+1F428","\xF0\x9F\x90\xA8","koala"
"676",0,"U+1F429","\xF0\x9F\x90\xA9","poodle"
"677",0,"U+1F42B","\xF0\x9F\x90\xAB","bactrian camel"
"678",0,"U+1F42D","\xF0\x9F\x90\xAD","mouse face"
"679",0,"U+1F42E","\xF0\x9F\x90\xAE","cow face"
"680",0,"U+1F430","\xF0\x9F\x90\xB0","rabbit face"
"681",0,"U+1F432","\xF0\x9F\x90\xB2","dragon face"
"682",0,"U+1F439","\xF0\x9F\x90\xB9","hamster face"
"683",0,"U+1F43D","\xF0\x9F\x90\xBD","pig nose"
"684",0,"U+1F442","\xF0\x9F\x91\x82","ear"
"685",0,"U+1F455","\xF0\x9F\x91\x95","t-shirt"
"686",0,"U+1F45D","\xF0\x9F\x91\x9D","pouch"
"687",0,"U+1F461","\xF0\x9F\x91\xA1","womans sandal"
"688",0,"U+1F467","\xF0\x9F\x91\xA7","girl"
"689",0,"U+1F471","\xF0\x9F\x91\xB1","person with blond hair"
"690",0,"U+1F472","\xF0\x9F\x91\xB2","man with gua pi mao"
"691",0,"U+1F474","\xF0\x9F\x91\xB4","older man"
"692",0,"U+1F47E","\xF0\x9F\x91\xBE","alien monster"
"693",0,"U+1F492","\xF0\x9F\x92\x92","wedding"
"694",0,"U+1F4A2","\xF0\x9F\x92\xA2","anger symbol"
"695",0,"U+1F4AC","\xF0\x9F\x92\xAC","speech balloon"
"696",0,"U+1F4AE","\xF0\x9F\x92\xAE","white flower"
"697",0,"U+1F4B3","\xF0\x9F\x92\xB3","credit card"
"698",0,"U+1F4B4","\xF0\x9F\x92\xB4","banknote with yen sign"
"699",0,"U+1F4BE","\xF0\x9F\x92\xBE","floppy disk"
"700",0,"U+1F4C1","\xF0\x9F\x93\x81","file folder"
"701",0,"U+1F4C2","\xF0\x9F\x93\x82","open file folder"
"702",0,"U+1F4C3","\xF0\x9F\x93\x83","page with curl"
"703",0,"U+1F4C4","\xF0\x9F\x93\x84","page facing up"
"704",0,"U+1F4C5","\xF0\x9F\x93\x85","calendar"
"705",0,"U+1F4C7","\xF0\x9F\x93\x87","card index"
"706",0,"U+1F4C8","\xF0\x9F\x93\x88","chart with upwards trend"
"707",0,"U+1F4C9","\xF0\x9F\x93\x89","chart with downwards trend"
"708",0,"U+1F4CA","\xF0\x9F\x93\x8A","bar chart"
"709",0,"U+1F4CB","\xF0\x9F\x93\x8B","clipboard"
"710",0,"U+1F4CC","\xF0\x9F\x93\x8C","pushpin"
"711",0,"U+1F4CD","\xF0\x9F\x93\x8D","round pushpin"
"712",0,"U+1F4CE","\xF0\x9F\x93\x8E","paperclip"
"713",0,"U+1F4CF","\xF0\x9F\x93\x8F","straight ruler"
"714",0,"U+1F4D0","\xF0\x9F\x93\x90","triangular ruler"
"715",0,"U+1F4D1","\xF0\x9F\x93\x91","bookmark tabs"
"716",0,"U+1F4D2","\xF0\x9F\x93\x92","ledger"
"717",0,"U+1F4D3","\xF0\x9F\x93\x93","notebook"
"718",0,"U+1F4D4","\xF0\x9F\x93\x94","notebook with decorative cover"
"719",0,"U+1F4D5","\xF0\x9F\x93\x95","closed book"
"720",0,"U+1F4D7","\xF0\x9F\x93\x97","green book"
"721",0,"U+1F4D8","\xF0\x9F\x93\x98","blue book"
"722",0,"U+1F4D9","\xF0\x9F\x93\x99","orange book"
"723",0,"U+1F4DB","\xF0\x9F\x93\x9B","name badge"
"724",0,"U+1F4DC","\xF0\x9F\x93\x9C","scroll"
"725",0,"U+1F4DE","\xF0\x9F\x93\x9E","telephone receiver"
"726",0,"U+1F4DF","\xF0\x9F\x93\x9F","pager"
"727",0,"U+1F4E0","\xF0\x9F\x93\xA0","fax machine"
"728",0,"U+1F4E3","\xF0\x9F\x93\xA3","cheering megaphone"
"729",0,"U+1F4E4","\xF0\x9F\x93\xA4","outbox tray"
"730",0,"U+1F4E5","\xF0\x9F\x93\xA5","inbox tray"
"731",0,"U+1F4E6","\xF0\x9F\x93\xA6","package"
"732",0,"U+1F4E7","\xF0\x9F\x93\xA7","e-mail symbol"
"733",0,"U+1F4E8","\xF0\x9F\x93\xA8","incoming envelope"
"734",0,"U+1F4E9","\xF0\x9F\x93\xA9","envelope with downwards arrow above"
"735",0,"U+1F4EA","\xF0\x9F\x93\xAA","closed mailbox with lowered flag"
"736",0,"U+1F4EB","\xF0\x9F\x93\xAB","closed mailbox with raised flag"
"737",0,"U+1F4EE","\xF0\x9F\x93\xAE","postbox"
"738",0,"U+1F4F0","\xF0\x9F\x93\xB0","newspaper"
"739",0,"U+1F4F1","\xF0\x9F\x93\xB1","mobile phone"
"740",0,"U+1F4F2","\xF0\x9F\x93\xB2","mobile phone with rightwards arrow at left"
"741",0,"U+1F4F3","\xF0\x9F\x93\xB3","vibration mode"
"742",0,"U+1F4F4","\xF0\x9F\x93\xB4","mobile phone off"
"743",0,"U+1F4FA","\xF0\x9F\x93\xBA","television"
"744",0,"U+1F503","\xF0\x9F\x94\x83","clockwise downwards and upwards open circle arrows"
"745",0,"U+1F50B","\xF0\x9F\x94\x8B","battery"
"746",0,"U+1F50D","\xF0\x9F\x94\x8D","left-pointing magnifying glass"
"747",0,"U+1F50F","\xF0\x9F\x94\x8F","lock with ink pen"
"748",0,"U+1F516","\xF0\x9F\x94\x96","bookmark"
"749",0,"U+1F517","\xF0\x9F\x94\x97","link symbol"
"750",0,"U+1F518","\xF0\x9F\x94\x98","radio button"
"751",0,"U+1F51A","\xF0\x9F\x94\x9A","end with leftwards arrow above"
"752",0,"U+1F51F","\xF0\x9F\x94\x9F","keycap ten"
"753",0,"U+1F520","\xF0\x9F\x94\xA0","input symbol for latin capital letters"
"754",0,"U+1F521","\xF0\x9F\x94\xA1","input symbol for latin small letters"
"755",0,"U+1F522","\xF0\x9F\x94\xA2","input symbol for numbers"
"756",0,"U+1F523","\xF0\x9F\x94\xA3","input symbol for symbols"
"757",0,"U+1F524","\xF0\x9F\x94\xA4","input symbol for latin letters"
"758",0,"U+1F52F","\xF0\x9F\x94\xAF","six pointed star with middle dot"
"759",0,"U+1F530","\xF0\x9F\x94\xB0","japanese symbol for beginner"
"760",0,"U+1F538","\xF0\x9F\x94\xB8","small orange diamond"
"761",0,"U+1F53A","\xF0\x9F\x94\xBA","up-pointing red triangle"
"762",0,"U+1F53C","\xF0\x9F\x94\xBC","up-pointing small red triangle"
"763",0,"U+1F53D","\xF0\x9F\x94\xBD","down-pointing small red triangle"
"764",0,"U+1F551","\xF0\x9F\x95\x91","clock face two oclock"
"765",0,"U+1F552","\xF0\x9F\x95\x92","clock face three oclock"
"766",0,"U+1F553","\xF0\x9F\x95\x93","clock face four oclock"
"767",0,"U+1F554","\xF0\x9F\x95\x94","clock face five oclock"
"768",0,"U+1F555","\xF0\x9F\x95\x95","clock face six oclock"
"769",0,"U+1F556","\xF0\x9F\x95\x96","clock face seven oclock"
"770",0,"U+1F557","\xF0\x9F\x95\x97","clock face eight oclock"
"771",0,"U+1F558","\xF0\x9F\x95\x98","clock face nine oclock"
"772",0,"U+1F559","\xF0\x9F\x95\x99","clock face ten oclock"
"773",0,"U+1F55A","\xF0\x9F\x95\x9A","clock face eleven oclock"
"774",0,"U+1F5FB","\xF0\x9F\x97\xBB","mount fuji"
"775",0,"U+1F5FC","\xF0\x9F\x97\xBC","tokyo tower"
"776",0,"U+1F5FE","\xF0\x9F\x97\xBE","silhouette of japan"
"777",0,"U+1F688","\xF0\x9F\x9A\x88","light rail"
"778",0,"U+1F68D","\xF0\x9F\x9A\x8D","oncoming bus"
"779",0,"U+1F68E","\xF0\x9F\x9A\x8E","trolleybus"
"780",0,"U+1F690","\xF0\x9F\x9A\x90","minibus"
"781",0,"U+1F696","\xF0\x9F\x9A\x96","oncoming taxi"
"782",0,"U+1F69B","\xF0\x9F\x9A\x9B","articulated lorry"
"783",0,"U+1F69C","\xF0\x9F\x9A\x9C","tractor"
"784",0,"U+1F69D","\xF0\x9F\x9A\x9D","monorail"
"785",0,"U+1F69E","\xF0\x9F\x9A\x9E","mountain railway"
"786",0,"U+1F69F","\xF0\x9F\x9A\x9F","suspension railway"
"787",0,"U+1F6A0","\xF0\x9F\x9A\xA0","mountain cableway"
"788",0,"U+1F6A1","\xF0\x9F\x9A\xA1","aerial tramway"
"789",0,"U+1F6A6","\xF0\x9F\x9A\xA6","vertical traffic light"
"790",0,"U+1F6AF","\xF0\x9F\x9A\xAF","do not litter symbol"
"791",0,"U+1F6B0","\xF0\x9F\x9A\xB0","potable water symbol"
"792",0,"U+1F6B1","\xF0\x9F\x9A\xB1","non-potable water symbol"
"793",0,"U+1F6B3","\xF0\x9F\x9A\xB3","no bicycles"
"794",0,"U+1F6B5","\xF0\x9F\x9A\xB5","mountain bicyclist"
"795",0,"U+1F6B7","\xF0\x9F\x9A\xB7","no pedestrians"
"796",0,"U+1F6B8","\xF0\x9F\x9A\xB8","children crossing"
"797",0,"U+1F6C1","\xF0\x9F\x9B\x81","bathtub"
"798",0,"U+1F6C2","\xF0\x9F\x9B\x82","passport control"
"799",0,"U+1F6C3","\xF0\x9F\x9B\x83","customs"
"800",0,"U+1F6C4","\xF0\x9F\x9B\x84","baggage claim"
"801",0,"U+1F6C5","\xF0\x9F\x9B\x85","left luggage"
"802",0,"U+1F312","\xF0\x9F\x8C\x92","waxing crescent moon symbol"
"803",0,"U+1F316","\xF0\x9F\x8C\x96","waning gibbous moon symbol"
"804",0,"U+1F317","\xF0\x9F\x8C\x97","last quarter moon symbol"
