"","created","screenName","text","ID","map.info.A","map.info.B","emoji.counts","unicode","bytes","description","latitude","longitude"
"737","May 12, 2015 at 11:46AM","@7jeanjunkieRO","@__pdot 😴😴😴😴","http://twitter.com/7jeanjunkieRO/status/598152182811271168","http://maps.google.com/maps/api/staticmap?center=40.02192269,-75.14549846&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.02192269,-75.14549846","https://maps.google.com/?q=40.02192269,-75.14549846&z=14",38,"U+1F634","\xF0\x9F\x98\xB4","sleeping face",40.02192269,-75.14549846
"687","May 12, 2015 at 11:45AM","@jadinzaki","Angry and cold 😒👊
Angry and hot 😡😡😡😡😡😡😾😾😾🔫🔫🔥🔥🔥","http://twitter.com/jadinzaki/status/598152122451021824","http://maps.google.com/maps/api/staticmap?center=40.0024565,-75.0350002&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.0024565,-75.0350002","https://maps.google.com/?q=40.0024565,-75.0350002&z=14",23,"U+1F52B","\xF0\x9F\x94\xAB","pistol",40.0024565,-75.0350002
"68198","May 12, 2015 at 11:45AM","@jadinzaki","Angry and cold 😒👊
Angry and hot 😡😡😡😡😡😡😾😾😾🔫🔫🔥🔥🔥","http://twitter.com/jadinzaki/status/598152122451021824","http://maps.google.com/maps/api/staticmap?center=40.0024565,-75.0350002&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.0024565,-75.0350002","https://maps.google.com/?q=40.0024565,-75.0350002&z=14",99,"U+1F525","\xF0\x9F\x94\xA5","fire",40.0024565,-75.0350002
"486","May 12, 2015 at 11:45AM","@jadinzaki","Angry and cold 😒👊
Angry and hot 😡😡😡😡😡😡😾😾😾🔫🔫🔥🔥🔥","http://twitter.com/jadinzaki/status/598152122451021824","http://maps.google.com/maps/api/staticmap?center=40.0024565,-75.0350002&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.0024565,-75.0350002","https://maps.google.com/?q=40.0024565,-75.0350002&z=14",20,"U+1F44A","\xF0\x9F\x91\x8A","fisted hand sign",40.0024565,-75.0350002
"46","May 12, 2015 at 11:45AM","@jadinzaki","Angry and cold 😒👊
Angry and hot 😡😡😡😡😡😡😾😾😾🔫🔫🔥🔥🔥","http://twitter.com/jadinzaki/status/598152122451021824","http://maps.google.com/maps/api/staticmap?center=40.0024565,-75.0350002&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.0024565,-75.0350002","https://maps.google.com/?q=40.0024565,-75.0350002&z=14",1,"U+1F63E","\xF0\x9F\x98\xBE","pouting cat face",40.0024565,-75.0350002
"24","May 12, 2015 at 11:45AM","@jadinzaki","Angry and cold 😒👊
Angry and hot 😡😡😡😡😡😡😾😾😾🔫🔫🔥🔥🔥","http://twitter.com/jadinzaki/status/598152122451021824","http://maps.google.com/maps/api/staticmap?center=40.0024565,-75.0350002&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.0024565,-75.0350002","https://maps.google.com/?q=40.0024565,-75.0350002&z=14",24,"U+1F621","\xF0\x9F\x98\xA1","pouting face",40.0024565,-75.0350002
"14","May 12, 2015 at 11:45AM","@jadinzaki","Angry and cold 😒👊
Angry and hot 😡😡😡😡😡😡😾😾😾🔫🔫🔥🔥🔥","http://twitter.com/jadinzaki/status/598152122451021824","http://maps.google.com/maps/api/staticmap?center=40.0024565,-75.0350002&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.0024565,-75.0350002","https://maps.google.com/?q=40.0024565,-75.0350002&z=14",149,"U+1F612","\xF0\x9F\x98\x92","unamused face",40.0024565,-75.0350002
"31117","May 12, 2015 at 11:44AM","@5400shiz","@SomthnAmazin_SA faith crib u see all the shots 😂😂😂","http://twitter.com/5400shiz/status/598151853801676800","http://maps.google.com/maps/api/staticmap?center=39.9679252,-75.20500858&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.9679252,-75.20500858","https://maps.google.com/?q=39.9679252,-75.20500858&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",39.9679252,-75.20500858
"726","May 12, 2015 at 11:44AM","@_Tay95","Sports center is just going to talk about this one situation all day 😑","http://twitter.com/_Tay95/status/598151768837459968","http://maps.google.com/maps/api/staticmap?center=39.97657108,-75.26934581&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.97657108,-75.26934581","https://maps.google.com/?q=39.97657108,-75.26934581&z=14",50,"U+1F611","\xF0\x9F\x98\x91","expressionless face",39.97657108,-75.26934581
"301","May 12, 2015 at 11:44AM","@_saamiya25","In Washington square just sitting trying to clear my head 🍃🍂🌷 http://t.co/gaHGf5oI8M","http://twitter.com/_saamiya25/status/598151718736625664","http://maps.google.com/maps/api/staticmap?center=39.94672299,-75.15302402&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.94672299,-75.15302402","https://maps.google.com/?q=39.94672299,-75.15302402&z=14",8,"U+1F343","\xF0\x9F\x8D\x83","leaf fluttering in wind",39.94672299,-75.15302402
"300","May 12, 2015 at 11:44AM","@_saamiya25","In Washington square just sitting trying to clear my head 🍃🍂🌷 http://t.co/gaHGf5oI8M","http://twitter.com/_saamiya25/status/598151718736625664","http://maps.google.com/maps/api/staticmap?center=39.94672299,-75.15302402&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.94672299,-75.15302402","https://maps.google.com/?q=39.94672299,-75.15302402&z=14",1,"U+1F342","\xF0\x9F\x8D\x82","fallen leaf",39.94672299,-75.15302402
"289","May 12, 2015 at 11:44AM","@_saamiya25","In Washington square just sitting trying to clear my head 🍃🍂🌷 http://t.co/gaHGf5oI8M","http://twitter.com/_saamiya25/status/598151718736625664","http://maps.google.com/maps/api/staticmap?center=39.94672299,-75.15302402&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.94672299,-75.15302402","https://maps.google.com/?q=39.94672299,-75.15302402&z=14",8,"U+1F337","\xF0\x9F\x8C\xB7","tulip",39.94672299,-75.15302402
"66112","May 12, 2015 at 11:34AM","@5400shiz","@Cahreamia_ n saying that was cute was not a complement y u still here the fuck✌️✌️","http://twitter.com/5400shiz/status/598149248337719296","http://maps.google.com/maps/api/staticmap?center=39.96773113,-75.20493676&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96773113,-75.20493676","https://maps.google.com/?q=39.96773113,-75.20493676&z=14",103,"U+270C","\xE2\x9C\x8C","victory hand",39.96773113,-75.20493676
"31116","May 12, 2015 at 11:34AM","@_Tay95","@TahValentine @Hitop_Jordan 😂😂😂😂 ctfu","http://twitter.com/_Tay95/status/598149182906437632","http://maps.google.com/maps/api/staticmap?center=39.97658614,-75.26927827&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.97658614,-75.26927827","https://maps.google.com/?q=39.97658614,-75.26927827&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",39.97658614,-75.26927827
"550","May 12, 2015 at 11:34AM","@vjizzle_","one good girl is worth a thousand of them bxtches 💍😌","http://twitter.com/vjizzle_/status/598149152170737664","http://maps.google.com/maps/api/staticmap?center=39.94528967,-75.25604952&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.94528967,-75.25604952","https://maps.google.com/?q=39.94528967,-75.25604952&z=14",16,"U+1F48D","\xF0\x9F\x92\x8D","ring",39.94528967,-75.25604952
"11","May 12, 2015 at 11:34AM","@vjizzle_","one good girl is worth a thousand of them bxtches 💍😌","http://twitter.com/vjizzle_/status/598149152170737664","http://maps.google.com/maps/api/staticmap?center=39.94528967,-75.25604952&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.94528967,-75.25604952","https://maps.google.com/?q=39.94528967,-75.25604952&z=14",101,"U+1F60C","\xF0\x9F\x98\x8C","relieved face",39.94528967,-75.25604952
"33","May 12, 2015 at 11:30AM","@emontana___","😭😭😭😭😂😂😂😂😂😂 https://t.co/DsfgF8bwJy","http://twitter.com/emontana___/status/598148248889663488","http://maps.google.com/maps/api/staticmap?center=40.01356121,-75.14017825&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.01356121,-75.14017825","https://maps.google.com/?q=40.01356121,-75.14017825&z=14",302,"U+1F62D","\xF0\x9F\x98\xAD","loudly crying face",40.01356121,-75.14017825
"31115","May 12, 2015 at 11:30AM","@emontana___","😭😭😭😭😂😂😂😂😂😂 https://t.co/DsfgF8bwJy","http://twitter.com/emontana___/status/598148248889663488","http://maps.google.com/maps/api/staticmap?center=40.01356121,-75.14017825&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.01356121,-75.14017825","https://maps.google.com/?q=40.01356121,-75.14017825&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",40.01356121,-75.14017825
"31114","May 12, 2015 at 11:29AM","@5400shiz","@Cahreamia_ 😂😂who r u n what's your name 😂😂","http://twitter.com/5400shiz/status/598148001161424896","http://maps.google.com/maps/api/staticmap?center=39.96770902,-75.20493091&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96770902,-75.20493091","https://maps.google.com/?q=39.96770902,-75.20493091&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",39.96770902,-75.20493091
"73737","May 12, 2015 at 11:24AM","@5400shiz","😴😴😴😴😴what😴😴😴😴","http://twitter.com/5400shiz/status/598146619494801408","http://maps.google.com/maps/api/staticmap?center=39.96665034,-75.21284405&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C39.96665034,-75.21284405","https://maps.google.com/?q=39.96665034,-75.21284405&z=14",38,"U+1F634","\xF0\x9F\x98\xB4","sleeping face",39.96665034,-75.21284405
"31113","May 12, 2015 at 11:18AM","@Lzaddyx3","I'm a dh yo 😂","http://twitter.com/Lzaddyx3/status/598145245524668417","http://maps.google.com/maps/api/staticmap?center=40.0232155,-75.0845152&zoom=12&size=640x440&scale=1&maptype=roadmap&sensor=false&markers=color:red%7C40.0232155,-75.0845152","https://maps.google.com/?q=40.0232155,-75.0845152&z=14",746,"U+1F602","\xF0\x9F\x98\x82","face with tears of joy",40.0232155,-75.0845152
